Category,Release Date,Series,Set,Card_Number,Card Number Order,Card ID,Card Name,Language,Rarity,Image,Card_Url,Edition,Surface,Variant
Pokemon,10/08/2021,Sword & Shield,Celebrations,24,24,PKM2021SWSHCELB000000000024ENGUNLM###H,Birthday Pikachu,English,Promo,https://content.tcgcollector.com/content/images/92/09/af/9209af6027405db250100e78bc0026fca20daa8188f3da14f82f1103d81f1c9a.jpg,https://www.tcgcollector.com/cards/35613/s-pikachu-celebrations-24,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,2/102,2,PKM2021SWSHCELB000000002102ENGUNLM###H,Blastoise,English,Rare Holo,https://content.tcgcollector.com/content/images/20/a0/22/20a02202e163a98959fa9995bc3b2cff16902b6013c6bb31da0725b162c9e002.jpg,https://www.tcgcollector.com/cards/35610/blastoise-celebrations-2-102,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,4/102,4,PKM2021SWSHCELB000000004102ENGUNLM###H,Charizard,English,Rare Holo,https://content.tcgcollector.com/content/images/93/d0/2a/93d02a347b8b48a7cee5ce8feb3788aebeebafe6906a518d4d073f15c29326c2.jpg,https://www.tcgcollector.com/cards/35611/charizard-celebrations-4-102,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,15/106,15,PKM2021SWSHCELB000000015106ENGUNLM###H,Claydol,English,Rare,https://content.tcgcollector.com/content/images/e8/2e/72/e82e726558b12a00c43f4ad3937e0e5649ada39a40e753d89887bb400eb54383.jpg,https://www.tcgcollector.com/cards/35624/claydol-celebrations-15-106,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,20/111,20,PKM2021SWSHCELB000000020111ENGUNLM###H,Cleffa,English,Rare,https://content.tcgcollector.com/content/images/02/9e/93/029e934cceac9741c31b99479f212db6f7765ffb5a7011e526047373e8cd0e18.jpg,https://www.tcgcollector.com/cards/35617/cleffa-celebrations-20-111,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,014/025,14,PKM2021SWSHCELB000000014025ENGUNLM###H,Cosmoem,English,Rare,https://content.tcgcollector.com/content/images/8b/9e/58/8b9e5810f93363bc3e7ced501f3aef292111a57eb912a570e4f95c7fa58ee8ac.jpg,https://www.tcgcollector.com/cards/35597/cosmoem-celebrations-014-025,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,013/025,13,PKM2021SWSHCELB000000013025ENGUNLM###H,Cosmog,English,Rare,https://content.tcgcollector.com/content/images/81/ee/5b/81ee5bebce8f3bcace956cce85a9b97f21820d13f2ff8b618e9ace4d140e290d.jpg,https://www.tcgcollector.com/cards/35596/cosmog-celebrations-013-025,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,8/82,8,PKM2021SWSHCELB000000000882ENGUNLM###H,Dark Gyarados,English,Rare Holo,https://content.tcgcollector.com/content/images/51/3e/0a/513e0ac613fbf6b6b90bfac45ae35586ffe4e29e255cfa49f8dcc549b82b8bef.jpg,https://www.tcgcollector.com/cards/35615/dark-gyarados-celebrations-8-82,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,020/025,20,PKM2021SWSHCELB000000020025ENGUNLM###H,Dialga,English,Rare,https://content.tcgcollector.com/content/images/4e/74/ba/4e74ba7d75cacd89f982afe879c8d46bf4c1f75c42bb6d810164e13e2177825d.jpg,https://www.tcgcollector.com/cards/35603/dialga-celebrations-020-025,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,107/123,107,PKM2021SWSHCELB000000107123ENGUNLM###H,Donphan,English,Rare Prime,https://content.tcgcollector.com/content/images/f2/0b/3e/f20b3e0793024b4252c20a6b6c26700b09e75f0b1d9c0c16b5e9ead89bbf3bcd.jpg,https://www.tcgcollector.com/cards/35627/donphan-celebrations-107-123,Unlimited,Holo,
