Category,Release Date,Series,Set,Card_Number,Card Number Order,Card ID,Card Name,Language,Rarity,Image,Card_Url,Edition,Surface,Variant
Pokemon,10/20/2001,Web Era,Web,023/048,23,PKM2001SUMO#WEB000000000023JPNUNLM####,Arcanine,Japanese,Uncommon,https://content.tcgcollector.com/content/images/c1/ad/36/c1ad368a696818089d8f0502e439b587cb367bca419f0cb83e3c2a7682965890.jpg,https://www.tcgcollector.com/cards/31315/arcanine-pokemon-web-023-048,Unlimited,,
Pokemon,10/20/2001,Web Era,Web,045/048,45,PKM2001SUMO#WEB000000000045JPNUNLM###H,Articuno,Japanese,Rare Holo,https://content.tcgcollector.com/content/images/52/bf/bc/52bfbce89ac7e3a6d1afe7fd60631e1870c01bc4f28aac3da7166d39293875b5.jpg,https://www.tcgcollector.com/cards/31337/articuno-pokemon-web-045-048,Unlimited,Holo,
Pokemon,10/20/2001,Web Era,Web,015/048,15,PKM2001SUMO#WEB000000000015JPNUNLM####,Bill's Teleporter,Japanese,Common,https://content.tcgcollector.com/content/images/3b/40/f4/3b40f4850945b4db835650fe0f282454206de560386500d96831227fe2ae1bf6.jpg,https://www.tcgcollector.com/cards/31307/bills-teleporter-pokemon-web-015-048,Unlimited,,
Pokemon,10/20/2001,Web Era,Web,007/048,7,PKM2001SUMO#WEB000000000007JPNUNLM####,Charmeleon,Japanese,Common,https://content.tcgcollector.com/content/images/9f/98/3d/9f983de5066a7b67ab443777929150b37ba4a052a6ffda5156751a61490a558d.jpg,https://www.tcgcollector.com/cards/31299/charmeleon-pokemon-web-007-048,Unlimited,,
Pokemon,10/20/2001,Web Era,Web,037/048,37,PKM2001SUMO#WEB000000000037JPNUNLM####,Dark Alakazam,Japanese,Rare,https://content.tcgcollector.com/content/images/cf/a6/1a/cfa61acc01dde6f4c15b58f48d2e44141ec8fed765a686f32b0b2fc6a694046e.jpg,https://www.tcgcollector.com/cards/31329/dark-alakazam-pokemon-web-037-048,Unlimited,,
Pokemon,10/20/2001,Web Era,Web,044/048,44,PKM2001SUMO#WEB000000000044JPNUNLM###H,Dark Blastoise,Japanese,Rare Holo,https://content.tcgcollector.com/content/images/39/d7/c7/39d7c76569d6b832c5981b3f0e9648123f3aba566a1aab1220ecc604c09db854.jpg,https://www.tcgcollector.com/cards/31336/dark-blastoise-pokemon-web-044-048,Unlimited,Holo,
Pokemon,10/20/2001,Web Era,Web,042/048,42,PKM2001SUMO#WEB000000000042JPNUNLM###H,Dark Charizard,Japanese,Rare Holo,https://content.tcgcollector.com/content/images/2c/f8/ce/2cf8cefa0b7f4e5f1e635760de2c4dfd998c86688c02b1112c1160f0bbe52a4a.jpg,https://www.tcgcollector.com/cards/31334/dark-charizard-pokemon-web-042-048,Unlimited,Holo,
Pokemon,10/20/2001,Web Era,Web,022/048,22,PKM2001SUMO#WEB000000000022JPNUNLM####,Dark Charmeleon,Japanese,Uncommon,https://content.tcgcollector.com/content/images/5b/87/b5/5b87b5cb89c9bc29d0d5115a1a7bdb04983c3a9059e4897a0cd36ceac0543e94.jpg,https://www.tcgcollector.com/cards/31314/dark-charmeleon-pokemon-web-022-048,Unlimited,,
Pokemon,10/20/2001,Web Era,Web,017/048,17,PKM2001SUMO#WEB000000000017JPNUNLM####,Dark Ivysaur,Japanese,Uncommon,https://content.tcgcollector.com/content/images/9c/41/41/9c41416072c751ecc11607b5f2dd3be9e204450daec6dbaa40092950d1108e18.jpg,https://www.tcgcollector.com/cards/31309/dark-ivysaur-pokemon-web-017-048,Unlimited,,
Pokemon,10/20/2001,Web Era,Web,027/048,27,PKM2001SUMO#WEB000000000027JPNUNLM####,Dark Kadabra,Japanese,Uncommon,https://content.tcgcollector.com/content/images/ac/67/c8/ac67c892cb587948b8a8db8c0ec07dc74749eda67c9e2a69ce5e402b28e4557b.jpg,https://www.tcgcollector.com/cards/31319/dark-kadabra-pokemon-web-027-048,Unlimited,,
Pokemon,10/20/2001,Web Era,Web,028/048,28,PKM2001SUMO#WEB000000000028JPNUNLM####,Dark Slowbro,Japanese,Uncommon,https://content.tcgcollector.com/content/images/66/30/cf/6630cfc5de45ca7719658fe17322362ce7c758a53814dcf3a40db16bc216a481.jpg,https://www.tcgcollector.com/cards/31320/dark-slowbro-pokemon-web-028-048,Unlimited,,
Pokemon,10/20/2001,Web Era,Web,041/048,41,PKM2001SUMO#WEB000000000041JPNUNLM###H,Dark Venusaur,Japanese,Rare Holo,https://content.tcgcollector.com/content/images/80/0e/78/800e78ae69a08da84a496fb68497546a57d768ffd809486b6ea3a91a631f2888.jpg,https://www.tcgcollector.com/cards/31333/dark-venusaur-pokemon-web-041-048,Unlimited,Holo,
Pokemon,10/20/2001,Web Era,Web,024/048,24,PKM2001SUMO#WEB000000000024JPNUNLM####,Dark Wartortle,Japanese,Uncommon,https://content.tcgcollector.com/content/images/04/b4/0c/04b40c58c42f675263f3e97f4d5af1f11553c23a66f572ebe489989f2e6650ec.jpg,https://www.tcgcollector.com/cards/31316/dark-wartortle-pokemon-web-024-048,Unlimited,,
Pokemon,10/20/2001,Web Era,Web,021/048,21,PKM2001SUMO#WEB000000000021JPNUNLM####,Dark Weezing,Japanese,Uncommon,https://content.tcgcollector.com/content/images/3a/8c/31/3a8c31197bc70be6b9d86fb0ebf99aced042d3664e628cb16bb111a19b6a35a7.jpg,https://www.tcgcollector.com/cards/31313/dark-weezing-pokemon-web-021-048,Unlimited,,
Pokemon,10/20/2001,Web Era,Web,013/048,13,PKM2001SUMO#WEB000000000013JPNUNLM####,Diglett,Japanese,Common,https://content.tcgcollector.com/content/images/dd/86/02/dd8602f3af0844bc89c4469b24bf5084a39d84e735ff117294a621da32573f61.jpg,https://www.tcgcollector.com/cards/31305/diglett-pokemon-web-013-048,Unlimited,,
Pokemon,10/20/2001,Web Era,Web,038/048,38,PKM2001SUMO#WEB000000000038JPNUNLM####,Dragonite,Japanese,Rare,https://content.tcgcollector.com/content/images/ca/3e/84/ca3e84a7adccfcfd335410f07a481a88a8d8f610b7aa797e5d1135caae98dc47.jpg,https://www.tcgcollector.com/cards/31330/dragonite-pokemon-web-038-048,Unlimited,,
Pokemon,10/20/2001,Web Era,Web,029/048,29,PKM2001SUMO#WEB000000000029JPNUNLM####,Dugtrio,Japanese,Uncommon,https://content.tcgcollector.com/content/images/25/31/03/253103dec91fd2796b082b1d9bbc76a41225019c4409e49d7b277e53a5451790.jpg,https://www.tcgcollector.com/cards/31321/dugtrio-pokemon-web-029-048,Unlimited,,
Pokemon,10/20/2001,Web Era,Web,026/048,26,PKM2001SUMO#WEB000000000026JPNUNLM####,Electrode,Japanese,Uncommon,https://content.tcgcollector.com/content/images/7e/57/a3/7e57a3325ae65562fb456770c0636928463a06c4e1454aeb004357df3acf9864.jpg,https://www.tcgcollector.com/cards/31318/electrode-pokemon-web-026-048,Unlimited,,
Pokemon,10/20/2001,Web Era,Web,004/048,4,PKM2001SUMO#WEB000000000004JPNUNLM####,Exeggcute,Japanese,Common,https://content.tcgcollector.com/content/images/99/e2/7e/99e27e744e233672d58930ffb41b54eb3500731904009e717e855da1ceb39b05.jpg,https://www.tcgcollector.com/cards/31296/exeggcute-pokemon-web-004-048,Unlimited,,
Pokemon,10/20/2001,Web Era,Web,020/048,20,PKM2001SUMO#WEB000000000020JPNUNLM####,Exeggutor,Japanese,Uncommon,https://content.tcgcollector.com/content/images/08/9a/ca/089aca9079ec7da98f95b6fbc68a372f11ace2b8a26ada08a91bf56ae3136df2.jpg,https://www.tcgcollector.com/cards/31312/exeggutor-pokemon-web-020-048,Unlimited,,
Pokemon,10/20/2001,Web Era,Web,047/048,47,PKM2001SUMO#WEB000000000047JPNUNLM###H,Gengar,Japanese,Rare Holo,https://content.tcgcollector.com/content/images/38/fb/23/38fb233d7f2303bbbefeac000cf082eb45ce780e90e5da12cb110d02e7321d49.jpg,https://www.tcgcollector.com/cards/31339/gengar-pokemon-web-047-048,Unlimited,Holo,
